Théâtres,1867-03-24,1867-03-25,1867-03-26,1867-03-27,1867-03-28,1867-03-29,1867-03-30,24 - 30 mar.
Opéra,,9905.25,,9564.89,,10324.34,,29794.48
Théâtre Français,3947.5,3520.5,4100.5,3044.5,5422.5,2727,2066,24828.5
Opéra-Comique,5764.5,12114.5,3579.5,1638.25,5405.5,1681,4045,34228.25
Théâtre des Italiens,420,,5743,,11847,,16695,34705
Odéon,1347.5,,569,712.5,1235.25,327,289.25,9905.25
Théâtre-Lyrique,4860.5,1346.5,3377,1873,5601,2368.5,4745,24171.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,5177.5,5004.5,4700.75,4615.75,5202,4707.5,4903.5,34311.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,21517.5,31891.25,22069.75,21448.89,34713.25,22135.34,32743.75,191944.48
