Théâtres,1863-08-23,1863-08-24,1863-08-25,1863-08-26,1863-08-27,1863-08-28,1863-08-29,23 - 29 août
Opéra,,5957.55,,7933.35,,9964.14,,23855.04
Théâtre Français,1204.7,605.2,1855,688.7,1244.1,703.6,1182.1,7483.4
Opéra-Comique,1353,1972,2082.5,2360,1979.5,2711.25,1475,13933.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,877,716,,783,1163.5,962.5,954,5456
Théâtre des Variétés,1030,1682.5,1006,1165,1723.5,1210,1184.5,9001.5
Gymnase,1385.25,817.25,1328.75,1445.5,1771.25,1622,1139.75,9509.75
Palais-Royal,702.1,639.5,671.6,712.6,1012.35,911.5,807.4,5457.05
Porte Saint-Martin,2223.75,1483.5,2150.5,2197.75,2659.25,2586,2186,15486.75
Gaîté,5208.5,4046.5,5101.25,4904.5,5252.35,5167.75,5068.25,34749.1
Ambigu-Comique,2411.75,1108.5,1414.25,1533.75,1603.25,1806.5,1516.5,11394.5
Théâtre Impérial du Cirque,1741.5,1311.25,1806,1905.25,,2195.5,1806.75,10766.25
Folies-Dramatiques,949.45,466,672.7,751.05,875.3,847,783.85,5345.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,19087,20805.75,18088.55,26380.45,19284.35,30687.74,18104.1,152437.94
