Théâtres,1861-02-03,1861-02-04,1861-02-05,1861-02-06,1861-02-07,1861-02-08,1861-02-09,2 - 9 fév.
Opéra,,,,,,,,
Théâtre Français,3253.3,5147.6,4908.8,1569.7,5107.6,1664.8,5652,27303.8
Opéra-Comique,5452.25,1435.5,4226.5,2108.5,4925,2519.5,5771.5,26438.75
Théâtre des Italiens,2490,,6727.7,,9045.5,,9151.3,27414.5
Odéon,1575.25,512.75,480.75,517,464.5,420,1264,5234.25
Théâtre-Lyrique,2266.25,1763.25,,2377.5,2053.25,1113.5,1486.5,11060.25
Vaudeville,2359,2060,1861.5,1771,1724,2336,4238,16349.5
Théâtre des Variétés,3238.5,1544,2148.5,1891.5,2428.5,2238.5,2528,16017.5
Gymnase,2933.25,1691.25,2071.25,2067,1945,2386,295,13388.75
Palais-Royal,3310.25,2507.25,2808.75,2802.5,2810.25,2804.75,3112.25,20156
Porte Saint-Martin,5207.5,4012.25,4202.5,,,4668.5,5313.5,23404.25
Gaîté,,1527.9,1628.55,2244.9,2650.9,2569.65,2457.15,13079.05
Ambigu-Comique,3506.5,2352.25,2172.25,2210.65,2427.25,2257.25,2208.5,17134.65
Théâtre Impérial du Cirque,6063.4,3586.4,3404.65,3003.1,3143.3,3479.35,3932.35,26612.55
Folies-Dramatiques,,1398.6,1236.55,1083.7,1002.8,1001.55,895,6618.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2028.5,1396.5,1479,1448.5,1425.5,1644,1866.5,11288.5
Folies Nouvelles,,,,,,,,
Total,43683.95,30935.5,39357.25,25095.55,41153.35,31103.35,50171.55,261500.5
